packet_seq_no,packet_delay_in_secs,flow_id,label
98,4.5e-05,5,with_out_qdisc
99,4.5e-05,1,with_out_qdisc
99,4.4e-05,4,with_out_qdisc
99,4.5e-05,3,with_out_qdisc
99,0.000127,2,with_out_qdisc
99,8.2e-05,5,with_out_qdisc
0,0.000436,1,with_qdisc
0,0.000445,4,with_qdisc
0,0.065297,3,with_qdisc
0,0.161062,2,with_qdisc
0,0.270862,5,with_qdisc
1,0.363433,1,with_qdisc
1,0.470064,4,with_qdisc
1,0.576381,3,with_qdisc
1,0.682597,2,with_qdisc
1,0.789557,5,with_qdisc
2,0.886592,1,with_qdisc
2,0.992746,4,with_qdisc
2,1.099644,3,with_qdisc
2,1.206091,2,with_qdisc
2,1.313086,5,with_qdisc
3,1.406588,1,with_qdisc
3,1.512408,4,with_qdisc
3,1.618962,3,with_qdisc
3,1.734349,2,with_qdisc
3,1.834632,5,with_qdisc
4,1.951176,1,with_qdisc
4,2.039015,4,with_qdisc
4,2.160807,3,with_qdisc
4,2.261731,2,with_qdisc
4,2.358298,5,with_qdisc
5,2.456297,1,with_qdisc
5,2.561725,4,with_qdisc
5,2.677197,3,with_qdisc
5,2.77656,2,with_qdisc
5,2.896765,5,with_qdisc
6,2.973068,1,with_qdisc
6,3.118107,4,with_qdisc
6,3.186732,3,with_qdisc
6,3.292943,2,with_qdisc
6,3.399576,5,with_qdisc
7,3.501674,1,with_qdisc
7,3.608006,4,with_qdisc
7,3.7149,3,with_qdisc
7,3.836642,2,with_qdisc
7,3.939615,5,with_qdisc
8,4.035923,1,with_qdisc
8,4.155285,4,with_qdisc
8,4.251434,3,with_qdisc
8,4.34013,2,with_qdisc
8,4.446338,5,with_qdisc
9,4.548248,1,with_qdisc
9,4.67138,4,with_qdisc
9,4.760168,3,with_qdisc
9,4.867777,2,with_qdisc
9,4.975517,5,with_qdisc
10,5.08388,1,with_qdisc
10,5.176907,4,with_qdisc
10,5.283081,3,with_qdisc
10,5.390103,2,with_qdisc
10,5.496438,5,with_qdisc
11,5.592449,1,with_qdisc
11,5.699258,4,with_qdisc
11,5.81163,3,with_qdisc
11,5.912859,2,with_qdisc
11,6.026768,5,with_qdisc
12,6.116268,1,with_qdisc
12,6.224305,4,with_qdisc
12,6.3289,3,with_qdisc
12,6.43798,2,with_qdisc
12,6.543529,5,with_qdisc
13,6.639304,1,with_qdisc
13,6.746087,4,with_qdisc
13,6.854675,3,with_qdisc
13,6.959544,2,with_qdisc
13,7.074921,5,with_qdisc
14,7.166924,1,with_qdisc
14,7.269099,4,with_qdisc
14,7.376042,3,with_qdisc
14,7.482439,2,with_qdisc
14,7.611713,5,with_qdisc
15,7.683168,1,with_qdisc
15,7.789791,4,with_qdisc
15,7.899765,3,with_qdisc
15,8.002738,2,with_qdisc
15,8.109904,5,with_qdisc
16,8.205237,1,with_qdisc
16,8.311534,4,with_qdisc
16,8.418032,3,with_qdisc
16,8.524341,2,with_qdisc
16,8.630933,5,with_qdisc
17,8.735105,1,with_qdisc
17,8.837718,4,with_qdisc
17,8.947615,3,with_qdisc
17,9.050979,2,with_qdisc
17,9.15804,5,with_qdisc
18,9.2694,1,with_qdisc
18,9.359725,4,with_qdisc
18,9.497501,3,with_qdisc
18,9.570632,2,with_qdisc
18,9.678932,5,with_qdisc
19,9.777807,1,with_qdisc
19,9.884611,4,with_qdisc
19,9.990499,3,with_qdisc
19,10.105579,2,with_qdisc
19,10.203537,5,with_qdisc
20,10.301582,1,with_qdisc
20,10.451294,4,with_qdisc
20,10.516203,3,with_qdisc
20,10.61996,2,with_qdisc
20,10.739972,5,with_qdisc
21,10.823563,1,with_qdisc
21,10.929308,4,with_qdisc
21,11.036526,3,with_qdisc
21,11.143077,2,with_qdisc
21,11.249883,5,with_qdisc
22,11.346892,1,with_qdisc
22,11.452685,4,with_qdisc
22,11.559479,3,with_qdisc
22,11.671586,2,with_qdisc
22,11.772737,5,with_qdisc
23,11.885014,1,with_qdisc
23,11.98604,4,with_qdisc
23,12.08716,3,with_qdisc
23,12.208241,2,with_qdisc
23,12.296153,5,with_qdisc
24,12.392102,1,with_qdisc
24,12.501454,4,with_qdisc
24,12.612158,3,with_qdisc
24,12.712033,2,with_qdisc
24,12.818252,5,with_qdisc
25,12.915899,1,with_qdisc
25,13.029315,4,with_qdisc
25,13.128016,3,with_qdisc
25,13.234907,2,with_qdisc
25,13.347499,5,with_qdisc
26,13.437235,1,with_qdisc
26,13.544121,4,with_qdisc
26,13.672339,3,with_qdisc
26,13.757758,2,with_qdisc
26,13.864165,5,with_qdisc
27,13.963818,1,with_qdisc
27,14.069652,4,with_qdisc
27,14.17911,3,with_qdisc
27,14.274686,2,with_qdisc
27,14.393418,5,with_qdisc
28,14.497247,1,with_qdisc
28,14.593379,4,with_qdisc
28,14.724088,3,with_qdisc
28,14.811469,2,with_qdisc
28,14.911438,5,with_qdisc
29,15.016049,1,with_qdisc
29,15.131602,4,with_qdisc
29,15.215372,3,with_qdisc
29,15.325931,2,with_qdisc
